,epoch,minibatch,trainstep,task,binacc
0,0,0,0,tox,tensor(0.9440)
1,1,0,1,tox,tensor(0.9440)
2,2,0,2,tox,tensor(0.9445)
3,3,0,3,tox,tensor(0.9448)
4,4,0,4,tox,tensor(0.9450)
5,5,0,5,tox,tensor(0.9451)
6,6,0,6,tox,tensor(0.9452)
7,7,0,7,tox,tensor(0.9453)
8,8,0,8,tox,tensor(0.9453)
9,9,0,9,tox,tensor(0.9452)
10,10,0,10,tox,tensor(0.9452)
11,11,0,11,tox,tensor(0.9453)
12,12,0,12,tox,tensor(0.9453)
13,13,0,13,tox,tensor(0.9453)
14,14,0,14,tox,tensor(0.9454)
15,15,0,15,tox,tensor(0.9454)
16,16,0,16,tox,tensor(0.9454)
17,17,0,17,tox,tensor(0.9454)
18,18,0,18,tox,tensor(0.9454)
19,19,0,19,tox,tensor(0.9454)
20,20,0,20,tox,tensor(0.9455)
21,21,0,21,tox,tensor(0.9455)
22,22,0,22,tox,tensor(0.9455)
23,23,0,23,tox,tensor(0.9455)
24,24,0,24,tox,tensor(0.9455)
25,25,0,25,tox,tensor(0.9455)
26,26,0,26,tox,tensor(0.9455)
27,27,0,27,tox,tensor(0.9455)
28,28,0,28,tox,tensor(0.9455)
29,29,0,29,tox,tensor(0.9455)
30,30,0,30,tox,tensor(0.9455)
31,31,0,31,tox,tensor(0.9455)
32,32,0,32,tox,tensor(0.9456)
33,33,0,33,tox,tensor(0.9456)
34,34,0,34,tox,tensor(0.9456)
35,35,0,35,tox,tensor(0.9456)
36,36,0,36,tox,tensor(0.9456)
37,37,0,37,tox,tensor(0.9456)
38,38,0,38,tox,tensor(0.9456)
39,39,0,39,tox,tensor(0.9456)
40,40,0,40,tox,tensor(0.9456)
41,41,0,41,tox,tensor(0.9456)
42,42,0,42,tox,tensor(0.9456)
43,43,0,43,tox,tensor(0.9456)
44,44,0,44,tox,tensor(0.9456)
45,45,0,45,tox,tensor(0.9456)
46,46,0,46,tox,tensor(0.9456)
47,47,0,47,tox,tensor(0.9456)
48,48,0,48,tox,tensor(0.9456)
49,49,0,49,tox,tensor(0.9456)
